Team,PG_PTS,PG_REB,PG_AST,PG_3PM,PG_STL,PG_BLK,PG_TO,PG_FG%,PG_FT%,SG_PTS,SG_REB,SG_AST,SG_3PM,SG_STL,SG_BLK,SG_TO,SG_FG%,SG_FT%,SF_PTS,SF_REB,SF_AST,SF_3PM,SF_STL,SF_BLK,SF_TO,SF_FG%,SF_FT%,PF_PTS,PF_REB,PF_AST,PF_3PM,PF_STL,PF_BLK,PF_TO,PF_FG%,PF_FT%,C_PTS,C_REB,C_AST,C_3PM,C_STL,C_BLK,C_TO,C_FG%,C_FT%
Portland Trail Blazers,27.0,3.0,23.0,27.0,6.0,13.0,17.0,16.0,13.0,7.0,7.0,18.0,28.0,8.0,4.0,5.0,2.0,16.0,19.0,10.0,3.0,26.0,13.0,6.0,8.0,20.0,11.0,29.0,28.0,25.0,20.0,2.0,5.0,5.0,26.0,7.0,4.0,25.0,8.0,6.0,2.0,20.0,1.0,17.0,5.0
Sacramento Kings,21.0,28.0,14.0,26.0,21.0,30.0,14.0,12.0,15.0,20.0,16.0,24.0,19.0,19.0,7.0,22.0,5.0,20.0,13.0,22.0,22.0,2.0,17.0,27.0,28.0,7.0,13.0,3.0,19.0,14.0,19.0,9.0,27.0,13.0,6.0,27.0,12.0,19.0,4.0,4.0,21.0,15.0,22.0,13.0,9.0
San Antonio Spurs,9.0,1.0,6.0,1.0,19.0,15.0,24.0,19.0,10.0,9.0,8.0,1.0,2.0,18.0,19.0,6.0,23.0,14.0,11.0,11.0,15.0,6.0,16.0,17.0,15.0,11.0,29.0,14.0,20.0,3.0,11.0,5.0,19.0,17.0,15.0,1.0,10.0,6.0,10.0,20.0,7.0,12.0,17.0,2.0,18.0
Toronto Raptors,26.0,25.0,25.0,19.0,4.0,28.0,2.0,17.0,27.0,2.0,18.0,12.0,22.0,13.0,6.0,2.0,11.0,1.0,24.0,2.0,19.0,11.0,10.0,5.0,2.0,21.0,6.0,27.0,5.0,10.0,29.0,12.0,1.0,11.0,28.0,6.0,6.0,4.0,11.0,10.0,7.0,2.0,11.0,22.0,28.0
Utah Jazz,11.0,9.0,3.0,13.0,3.0,1.0,22.0,1.0,19.0,3.0,4.0,2.0,13.0,2.0,9.0,30.0,3.0,27.0,4.0,9.0,2.0,8.0,7.0,18.0,9.0,1.0,17.0,15.0,3.0,5.0,6.0,14.0,2.0,29.0,11.0,30.0,1.0,11.0,1.0,1.0,6.0,5.0,8.0,15.0,2.0
Washington Wizards,4.0,11.0,17.0,4.0,11.0,20.0,30.0,9.0,11.0,22.0,2.0,7.0,15.0,1.0,2.0,7.0,27.0,21.0,9.0,4.0,4.0,17.0,27.0,20.0,19.0,18.0,10.0,9.0,1.0,8.0,13.0,1.0,17.0,22.0,17.0,20.0,9.0,3.0,16.0,5.0,20.0,14.0,16.0,24.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
