Player,Team,Position,PTS_final,REB_final,AST_final,PTS_adj,REB_adj,AST_adj,PTS_bonus,REB_bonus,AST_bonus,TS%,eFG%,USG_proxy,MPG,PTS_playoff_x,REB_playoff_x,AST_playoff_x,MPG_playoff_x,PTS_playoff_y,REB_playoff_y,AST_playoff_y,MPG_playoff_y,PTS_playoff,REB_playoff,AST_playoff,MPG_playoff
Tyler Herro,MIA,G,26.631368944099385,4.422000000000001,5.091428571428571,16.795546621118017,2.8447800000000005,3.061671428571428,0.0,0.0,0.0,0.645,0.5943775100401606,0.1449603174603174,7.436464285714286,21.0,3.0,2.0,,33.0,6.0,5.0,,,,,
James Harden,LAC,G,26.8130698136646,5.638285714285713,8.712,18.71414300372671,5.271474285714286,6.53783,0.0,0.0,0.0,0.641,0.5668103448275862,0.1516269841269841,7.778464285714286,32.0,6.0,11.0,,18.0,3.0,7.0,,11.0,8.0,5.0,
Jalen Williams,OKC,G,24.776301614906835,4.808571428571428,5.016,14.689697567701867,2.990378571428571,3.08514,0.0,0.0,0.0,0.619,0.572,0.133015873015873,6.823714285714286,20.0,5.0,6.0,,24.0,6.0,5.0,,,,,
Damian Lillard,MIL,G,26.21451130434783,4.742571428571429,6.288857142857144,13.744688973913043,2.8146385714285715,3.8158328571428575,0.0,0.0,0.0,0.624,0.5464135021097046,0.1487698412698412,7.631892857142856,,,,,14.0,3.0,7.0,,,,,
DeMar DeRozan,SAC,G-F,21.20047900621118,3.959999999999999,5.657142857142857,10.436417619875774,1.9494000000000002,2.7848571428571436,0.0,0.0,0.0,0.526,0.46875,0.1523412698412698,7.815107142857144,,,,,,,,,,,,
OG Anunoby,NYK,F,23.64187229813665,4.836857142857142,2.4891428571428573,19.399198954037267,5.349602857142857,1.5953371428571428,0.0,0.0,0.0,0.622,0.58,0.1503968253968254,7.715357142857142,23.0,7.0,0.0,,10.0,5.0,2.0,,19.0,8.0,1.0,
LeBron James,LAL,F-G,24.62406708074534,7.505142857142857,6.986571428571429,23.932106658385095,8.167827142857144,6.717248571428572,0.0,0.0,0.0,0.585,0.5363984674329502,0.1469444444444444,7.53825,19.0,5.0,3.0,,21.0,11.0,7.0,,22.0,7.0,6.0,
Donovan Mitchell,CLE,G,21.72834782608696,4.959428571428572,5.657142857142858,17.37577304347826,3.064641428571429,4.105457142857143,0.0,0.0,0.0,0.525,0.4490909090909091,0.1334920634920635,6.848142857142858,30.0,5.0,4.0,,30.0,6.0,6.0,,,,,
Jamal Murray,DEN,G,23.571100621118013,3.828,6.043714285714287,24.839059987577638,3.78827,5.453705714285714,0.0,0.0,0.0,0.594,0.5424710424710425,0.1545238095238095,7.927071428571428,21.0,9.0,7.0,,23.0,3.0,6.0,,43.0,5.0,7.0,
Franz Wagner,ORL,G-F,21.37432546583852,5.996571428571428,4.450285714285714,23.08294749068323,5.249898571428572,4.744004285714286,0.0,0.0,0.0,0.542,0.4893617021276595,0.143015873015873,7.336714285714286,23.0,3.0,5.0,,25.0,4.0,4.0,,25.0,4.0,4.0,
Zach LaVine,SAC,G-F,24.510481490683222,3.526285714285715,3.828,12.065841570186338,1.735894285714286,1.8844199999999995,0.0,0.0,0.0,0.627,0.5991902834008097,0.1553968253968254,7.971857142857142,,,,,,,,,,,,
Shaedon Sharpe,POR,G,20.03038509316772,5.864571428571429,3.290571428571429,9.86041229813665,2.8869685714285716,1.6198585714285718,0.0,0.0,0.0,0.55,0.5183150183150184,0.138968253968254,7.129071428571428,,,,,,,,,,,,
Anthony Davis,DAL,F-C,21.84060521739131,11.267142857142856,3.658285714285714,10.751534295652178,5.546507142857141,1.8008742857142854,0.0,0.0,0.0,0.558,0.5153846153846153,0.1298412698412698,6.660857142857142,,,,,,,,,,,,
Jalen Green,HOU,G,19.71686459627329,5.148,4.280571428571428,16.304624708074538,5.645420000000001,3.222508571428572,0.0,0.0,0.0,0.538,0.5036764705882353,0.1357142857142857,6.962142857142856,7.0,8.0,2.0,,38.0,4.0,6.0,,11.0,8.0,2.0,
Anfernee Simons,POR,G,20.00346037267081,2.583428571428572,4.422000000000001,9.847157992546585,1.2717514285714284,2.1768300000000003,0.0,0.0,0.0,0.554,0.521978021978022,0.1406746031746031,7.216607142857143,,,,,,,,,,,,
